2433.85 0.650281 2 -0.1 130 20
2321.5 0.668865 2.1 -0.1 130 20
2228.05 0.688326 2.2 -0.1 130 20
2150.57 0.708663 2.3 -0.1 130 20
2086.74 0.729872 2.4 -0.1 130 20
2034.72 0.751951 2.5 -0.1 130 20
1993.01 0.774899 2.6 -0.1 130 20
1960.41 0.798713 2.7 -0.1 130 20
1935.94 0.823392 2.8 -0.1 130 20
1918.81 0.848935 2.9 -0.1 130 20
1908.36 0.87534 3 -0.1 130 20
1904.06 0.902607 3.1 -0.1 130 20
1905.47 0.930736 3.2 -0.1 130 20
1912.23 0.959725 3.3 -0.1 130 20
1924.06 0.989575 3.4 -0.1 130 20
1940.7 1.02029 3.5 -0.1 130 20
1961.98 1.05186 3.6 -0.1 130 20
2370.45 1.33722 2.6 -0.25 130 20
2330.65 1.37799 2.7 -0.25 130 20
2300.54 1.42024 2.8 -0.25 130 20
2279.17 1.46395 2.9 -0.25 130 20
2265.75 1.50913 3 -0.25 130 20
2259.63 1.55578 3.1 -0.25 130 20
2267.32 1.65347 3.3 -0.25 130 20
2280.34 1.7045 3.4 -0.25 130 20
2299.07 1.75701 3.5 -0.25 130 20
2323.28 1.81097 3.6 -0.25 130 20
2352.8 1.8664 3.7 -0.25 130 20
2387.48 1.9233 3.8 -0.25 130 20
2427.21 1.98166 3.9 -0.25 130 19
2259.63 1.55578 3.1 -0.25 130 20
2260.3 1.60389 3.2 -0.25 130 20
4270.36 1.92957 2 -0.5 130 20
4066.92 1.98314 2.1 -0.5 130 20
3897 2.03919 2.2 -0.5 130 20
3755.36 2.0977 2.3 -0.5 130 20
3637.86 2.15865 2.4 -0.5 130 20
3462.68 2.28787 2.6 -0.5 130 20
3400.18 2.35612 2.7 -0.5 130 20
3351.92 2.42678 2.8 -0.5 130 20
3316.49 2.49986 2.9 -0.5 130 20
3292.69 2.57533 3 -0.5 130 20
3279.57 2.65321 3.1 -0.5 130 20
3276.34 2.7335 3.2 -0.5 130 20
3282.28 2.81617 3.3 -0.5 130 20
3296.98 2.90125 3.4 -0.5 130 20
3319.84 2.9887 3.5 -0.5 130 20
3350.81 3.07861 3.6 -0.5 130 20
3389.03 3.17091 3.7 -0.5 130 20
3435.01 3.26566 3.8 -0.5 130 20
